Удельный расход кокса (кг/т),Чугун.Si,Чугун.P,t колошникового газа 4 (°С),t колошникового газа 3 (°С),t колошникового газа 1 (°С),t колошникового газа 2 (°С),t колошникового газа в пылеуловителе (°С),Чугун.Ti,Уровень засыпи (юг) (м),Положение клапана малый снорт (%),Уровень засыпи (север) (м),Уровень засыпи (запад) (м),Уровень засыпи (восток) (м),Длительность простоя (сут),t периферийных газов 5 (°С),O₂ в горячем дутье,Колошниковый газ (H₂),Чугун.C,Содержание кислорода в дутье (%),Перепад давлений нижний (ат),Колошниковый газ (CO₂),Расход холодного дутья (м³/ч),Перепад давлений общий (ат),Расход природного газа (м³/ч),Выход колошникового газа (м³/ч),Шлак,упдп,CO₂ в колошниковом газе (%)
476.3933712,,,173.6426678,197.3041414,167.3018125,181.1370354,165.0201098,,1.425908541,3.71931316,1.38169608,1.264468576,1.580631435,0.0,448.595356,26.89999962,7.400000095,,26.49764641,0.969887366,19.83333333,214381.474,1.253050968,14499.646,299493.2487,,,18.63948345
484.2066847,,,196.0983365,218.5033932,200.3906339,217.3421446,185.4774291,,2.230113496,26.01183223,2.348267421,2.097697347,2.508715853,0.0,568.4344139,26.53333346,7.466666698,,26.14029519,0.870230722,19.0,197953.9264,1.13148879,13911.43087,269634.8216,,,17.7871484
521.3182864,,,220.9299342,251.7624175,220.1271267,242.3222707,204.8028984,,1.567576433,17.42518371,1.702687661,1.449765682,1.815688834,0.0,681.1535797,26.10000038,7.76666673,,25.64859629,0.896760414,18.03333346,203551.5898,1.160274307,14157.43494,278942.1921,,,16.33866302
563.7436633,,,202.4860725,274.1268005,202.3553321,211.5643228,190.0284157,,1.3916209,55.01402855,1.478937422,1.306891263,1.661226937,0.833333333,693.5864538,25.79999924,8.100000381,,21.99060257,0.173262732,16.0,65142.63875,0.235306129,2695.294332,226837.5964,,,15.66773721
521.3169385,,,171.8311367,176.6414203,196.6781998,168.1178478,110.2288826,,2.707598857,9.773289005,2.601524166,2.587174603,2.951463274,1.0,571.2897301,,,,21.33763647,0.055906539,,40518.6119,0.104320891,435.2155584,84562.85352,,,16.05990028
482.7373683,,,261.8340111,292.2287032,263.9178727,283.9901683,240.940019,,1.983337228,21.34884087,2.033855041,1.791452115,2.28116931,0.125,711.9900335,23.90000057,6.850000143,,23.28485497,0.702191261,16.05000019,184372.166,0.98872338,11130.20711,229254.9583,,,15.88225031
459.6107484,,,224.86892,248.4433193,218.6959241,238.4847914,207.3332901,,2.642760525,45.03997028,2.574587728,2.375676592,2.961962625,0.125,685.2412491,23.79999987,6.699999968,,23.32966447,0.685907407,17.33333333,174241.1704,0.944014755,10005.13707,217198.0275,,,16.49244146
460.9149656,,,203.9930903,230.7234834,198.6680101,219.1936982,194.7124767,,2.154464011,6.573522753,2.16155074,1.978471075,2.439513018,0.0,650.2064718,24.43333308,6.866666635,,24.94646541,0.86971848,17.59999975,199316.6745,1.178974286,12232.65857,266857.832,,,16.26939408
485.5155384,,,198.9629669,232.8541272,205.3010858,222.5815016,194.0030371,,1.919098961,7.61289603,2.009717355,1.777805428,2.205587894,0.0,583.9440447,25.83333333,7.033333302,,25.47680243,0.939066554,18.46666654,204316.6523,1.251331021,13370.38725,279456.2422,,,14.56068011
473.2973023,,,207.0613861,226.3974336,202.1442362,220.7778009,194.58892,,,14.70208397,3.466401041,3.188689637,3.636784931,0.041666667,532.6743787,24.83333333,7.133333206,,24.74438079,0.912403934,17.79999987,197921.3164,1.145770259,12943.48767,264238.1628,,,13.44191893
