Количество чугуна (т),Удельный расход кокса (кг/т),Расход холодного дутья (м³/ч),t горячего дутья (°С),Расход природного газа (м³/ч),t природного газа (°С),Содержание кислорода в дутье (%),Расход пара на увлажнение (т/ч),Перепад давлений общий (ат),t чугуна на выпуске (лётка 1) (°С),t чугуна на выпуске (лётка 2) (°С),Давление колошникового газа (ат),Перепад давлений нижний (ат),Перепад давлений верхний (ат),Выход колошникового газа (м³/ч),Положение клапана малый снорт (%),t колошникового газа 1 (°С),t колошникового газа 2 (°С),t колошникового газа 3 (°С),t колошникового газа 4 (°С),t колошникового газа в пылеуловителе (°С),Уровень засыпи (запад) (м),Уровень засыпи (восток) (м),CO в колошниковом газе (%),CO₂ в колошниковом газе (%),H₂ в колошниковом газе (%),t периферийных газов 1 (°С),t периферийных газов 2 (°С),t периферийных газов 3 (°С),t периферийных газов 4 (°С),t периферийных газов 5 (°С),t периферийных газов 6 (°С),Уровень засыпи (север) (м),Уровень засыпи (юг) (м),N₂ в колошниковом газе (%),Шлак,Чугун.Cr,Чугун.Mn,Чугун.P,Чугун.S,Чугун.Si,Чугун.Ti,Чугун.V,Чугун.C,Шлак.Al₂O₃,Шлак.CaO,Шлак.FeO,Шлак.Ko,Шлак.MgO,Шлак.MnO,Шлак.NaO,Шлак.S,Шлак.SiO₂,Шлак.TiO₂,Бар М10,Бар М25,Влага,Зола,Кокс +80 мм,Кокс -25 мм,Кокс 40-25 мм,Кокс 60-40 мм,Кокс 80-60 мм,Летучие,Сера К,Углерод,CRI,CSR,Fe,FeO,S,SiO₂,CaO,MgO,Al₂O₃,TiO₂,Osn,P,Zn,Cr,MnO,O₂ в горячем дутье,Доля агломерата,Колошниковый газ (CO₂),Колошниковый газ (CO),Колошниковый газ (H₂)
4276.907,473.6114346,213644.5671,1060.252569,15631.42078,10.24170784,26.63687277,0.476961948,1.231369297,1386.105908,1344.77923,1.370384152,0.941940933,0.278346686,305275.8867,4.41470962,156.2313258,164.8884207,190.8316472,159.5280056,160.7645073,1.198365591,1.520633404,23.7971642,18.16869108,5.714291712,249.9775194,303.529108,424.2244593,323.3003362,426.7936452,204.200442,1.272924895,1.34276093,51.10390838,1676.024994,0.033,0.297692306,0.058,0.019923077,1.093799996,0.065466666,0.105599999,4.579999924,10.4016668,36.82833227,0.232750002,0.906333337,9.051666578,0.305166662,1.037333339,0.684500009,37.986667,0.871000004,8.999999762,87.29999924,4.300000072,13.04999995,28.625,1.425000012,4.274999917,25.99999952,39.67500019,1.299999982,0.529999971,83.80000305,31.79999924,54.79999924,54.17713847,9.812006563,0.07256579,6.431249996,12.31353627,2.119950669,1.720411192,0.248634868,1.91495065,0.024050987,0.031865131,0.021810855,0.29412829,26.46666718,0.614,19.29999987,25.79999987,7.599999905
4393.412,462.6440368,217516.6211,1060.557632,15998.24337,13.28607688,26.82231434,0.347437564,1.279914672,1408.298866,1477.316493,1.384481594,0.986926777,0.281584113,314590.5534,0.699585038,163.6202717,171.1728999,202.1624686,165.124361,168.5069396,0.996863015,1.311867903,24.13866289,18.0672582,5.975084662,209.3379784,363.5203005,461.3756612,290.0385075,422.5904071,189.2355378,1.069224675,1.112710496,50.6440204,1676.024994,0.039307692,0.292818183,0.059066667,0.017466667,0.69992308,0.062615385,0.092785714,4.900000095,10.4016668,36.55333328,0.272999999,0.961499999,8.694999854,0.32016667,0.999166667,0.671599984,38.60833359,0.844000002,9.0,87.47499847,4.024999917,13.0250001,28.32499981,1.650000036,4.524999976,26.69999981,38.80000019,1.299999952,0.5,83.30999756,31.79999924,54.79999924,54.2934028,9.931250016,0.063503472,6.417604175,12.18048617,2.052743042,1.739513904,0.24878472,1.898819442,0.023645833,0.032711806,0.022659722,0.277350695,26.5,0.618,18.63333321,25.66666667,7.5
4286.007,463.3545839,213989.5423,1061.078161,15338.16911,16.06459069,26.49094454,0.133249549,1.27863427,1405.625008,1360.094062,1.375107626,1.002796886,0.264934896,307390.3698,4.333779052,168.0618699,174.5486291,200.5747929,165.5917072,167.9380086,1.174653088,1.510454511,25.001326,18.32062332,5.700079918,303.8611577,413.4266027,466.1739044,309.4159571,375.492705,237.6646856,1.276018555,1.326677928,50.11916622,1532.775002,0.0374,0.285733336,0.0575,0.0197,1.093799996,0.0690625,0.105599999,4.900000095,10.79399986,36.50833384,0.229166664,0.906333337,8.861666679,0.320666666,1.089199996,0.671599984,38.35166677,0.844000002,8.874999762,87.34999847,4.450000048,13.07500005,29.3499999,1.474999994,4.149999917,26.79999971,38.22500038,1.349999964,0.50999999,83.19999695,31.70000076,55.0,54.24000003,9.846666654,0.065133334,6.459000015,12.25566664,2.06566664,1.766333326,0.252666663,1.898333327,0.023766667,0.031333333,0.022133333,0.283666665,26.16666667,0.626,18.96666654,26.13333321,7.333333333
4377.863,462.2951995,219926.054,1059.333598,15498.35885,15.16002925,26.17832057,0.262439228,1.277098338,1403.290011,1367.867788,1.382677113,1.007834251,0.25838438,314405.7435,2.294660023,163.6839174,156.0816746,192.8091513,155.754027,158.4471963,0.983820242,1.282256568,24.70302606,18.27390798,5.665391823,322.4931316,384.0826454,411.7257652,332.355114,405.8891271,246.3677216,1.05236986,1.108996275,50.50337124,1547.099995,0.0374,0.292818183,0.061428572,0.017466667,1.232071425,0.083866667,0.094933333,4.480000019,10.79399986,36.55333328,0.237799996,1.004500002,9.128333251,0.320666666,1.089199996,0.716499984,39.04833349,0.977500002,8.924999952,87.17499924,4.424999952,13.2249999,27.9749999,1.75,4.774999976,26.67500019,38.82500076,1.274999976,0.529999971,83.09999847,31.70000076,54.90000153,54.31397998,9.945394689,0.063217105,6.417253287,12.23351969,2.096759871,1.779358547,0.253174342,1.905378274,0.024098684,0.034314145,0.023626645,0.297763159,26.70000076,0.631,18.53333346,25.73333295,7.300000032
4023.861,466.2326204,207248.3172,1052.173258,13750.69012,20.72387719,25.24702923,0.846813456,1.170359361,1397.738739,1344.77923,1.238461363,0.917518303,0.242265627,304988.0245,11.17355905,158.4404844,155.2515469,191.2786242,156.9289157,153.4315221,1.088644904,1.431009819,23.67336043,18.32344143,5.756013254,258.0028191,361.3154526,373.8075956,312.078673,402.9482269,196.4556516,1.154329437,1.268652158,51.4203763,859.4999952,0.038153846,0.285733336,0.058076924,0.014857143,0.798562497,0.066076923,0.096076923,4.75,10.79399986,38.22500102,0.221833331,0.945166667,8.417500257,0.285666664,1.098166664,0.671599984,39.81166649,0.844000002,9.0,87.27499962,4.350000024,13.02499986,29.27499962,1.475000024,4.524999976,25.80000019,38.92500019,1.324999958,0.550000012,82.94999695,31.79999924,54.79999924,54.45490225,10.13254892,0.071621569,6.406294138,12.22852951,2.131745121,1.800019611,0.260196075,1.90884313,0.024378432,0.034568628,0.023172549,0.293274511,26.26666641,0.631,18.46666654,26.13333321,7.533333302
4357.581,472.3768745,218109.2988,1056.870092,15447.89457,17.21885351,26.01765569,0.552187953,1.3122934,1392.748987,1425.148376,1.381221066,1.02678065,0.274980903,306198.9805,7.734706772,161.2582404,158.3811785,190.6245416,161.4430383,160.8984636,1.019098317,1.334327946,22.08185983,19.83541059,6.030372143,291.0051886,413.8351949,377.9638125,350.8589605,395.2534828,230.0933158,1.083051761,1.15430934,51.2382733,1661.699997,0.0391875,0.292818183,0.0594375,0.016153846,0.744615385,0.065466666,0.098461539,4.480000019,10.4016668,37.09999975,0.232750002,1.004500002,8.861666679,0.290833334,1.105333328,0.716499984,37.986667,0.977500002,8.774999857,87.64999962,3.900000095,13.04999995,28.25,1.675000012,4.299999952,26.74999952,39.02499962,1.299999952,0.540000021,82.98999786,31.60000038,55.20000076,54.32277825,9.98361116,0.064666667,6.392666651,12.22244446,2.128722207,1.825944443,0.265249999,1.911861107,0.024383334,0.034741667,0.024097222,0.296500003,26.70000013,0.628,18.16666667,25.83333333,7.566666603
4295.896,469.3775883,214052.5762,1059.153432,15121.99556,13.85559726,25.92393565,1.520692973,1.305003484,1405.772987,1446.218313,1.370354464,1.02396208,0.269722509,305010.8503,10.47519906,158.5093959,161.5305182,190.4725583,158.3789152,157.6381346,1.14578603,1.489052643,24.1540254,18.38364267,6.131980101,308.5942014,407.4049759,443.3678894,374.1245295,406.9918098,292.5809536,1.225785355,1.327531149,50.38053481,1547.099995,0.036428572,0.285733336,0.057923077,0.017714286,0.646333333,0.0690625,0.087199999,4.730000019,11.19166676,38.22500102,0.261833337,0.945166667,8.861666679,0.340666667,1.098166664,0.660000006,38.25333277,0.844999999,8.96666654,87.26666768,3.599999984,13.26666673,31.36666616,1.600000024,4.066666762,24.26666705,38.69999949,1.299999952,0.550000012,82.73999786,32.59999847,54.90000153,54.41388912,9.905555546,0.069959402,6.331111114,12.07940179,2.134700837,1.822499997,0.27431624,1.908290603,0.024797009,0.037160257,0.023108974,0.292307691,26.23333359,0.627,18.79999987,25.76666641,7.5
3378.395,483.1288754,187423.738,1049.695508,12084.3754,12.76034892,25.14229798,0.442904008,1.031318916,1397.738739,1424.435901,1.089724886,0.801311884,0.219689379,273933.6347,11.70053692,167.2721507,160.64667,190.7835166,171.7707418,150.2947156,1.627826939,2.018342227,23.97608908,19.14856815,5.890780628,277.2577896,289.9246324,306.2455533,259.1075605,321.7016843,196.0366853,1.667988703,1.916406587,50.00103331,1547.099995,0.038153846,0.297692306,0.058076924,0.017636364,1.093799996,0.0690625,0.098461539,4.730000019,11.38333337,37.18999926,0.272999999,0.906333337,9.128333251,0.320666666,1.185833315,0.676666657,39.61750031,0.809666673,8.466666698,88.09999847,4.200000048,13.2249999,35.6666654,1.600000024,3.433333238,21.70000013,37.59999975,1.299999952,0.560000002,83.23000336,31.39999962,55.70000076,54.4803922,9.924313712,0.064213726,6.366137288,12.01017646,2.085627426,1.837803927,0.276745098,1.886980384,0.024401961,0.039660784,0.022543137,0.286235295,26.05000019,0.628,19.25,25.90000057,7.25
4126.119,481.0581777,219317.6302,1058.039762,15057.48389,14.39313227,26.22183998,0.94535715,1.304494212,1408.298866,1453.534205,1.382616664,1.010223947,0.283715278,289797.8477,7.890795559,164.8696753,166.8773034,194.3891608,158.5845006,161.1397877,1.125581478,1.459950248,24.00513291,19.06847016,5.971751869,349.0346858,414.8095805,434.5180664,335.88679,358.8387973,318.0622069,1.169525402,1.328920285,49.96729914,1633.04998,0.039307692,0.295230765,0.059066667,0.0181875,0.639923082,0.083866667,0.105599999,4.710000038,11.38333337,37.36166573,0.221833331,1.065800011,9.24333334,0.242000006,0.999166667,0.713833342,38.86800003,0.844999999,8.375,87.90000153,3.62499994,13.125,34.5999999,1.575000018,3.474999964,21.2750001,39.07500076,1.324999958,0.560000002,83.51999664,31.29999924,55.79999924,54.33333338,9.776190394,0.067988095,6.417500002,12.15130955,2.091547614,1.845357136,0.27559524,1.89392856,0.02477381,0.033940477,0.022047619,0.287142856,26.56666629,0.63,19.23333359,25.16666667,7.566666603
4115.158,480.5000928,213089.9661,1033.17248,14772.27698,14.76168732,26.25648371,1.43703584,1.318189522,1380.434852,1449.956406,1.377326801,1.020420986,0.286061342,291266.5208,12.46880261,159.5950476,161.3654499,194.8018862,154.0822671,158.7094364,1.182463246,1.519059395,24.25892925,19.00120083,5.640566627,338.4159864,349.5304782,421.3675715,381.1117134,370.3670629,369.1939596,1.247284517,1.361524597,50.0657107,1590.074989,0.038153846,0.292818183,0.057923077,0.0197,0.744615385,0.065466666,0.098461539,4.800000191,11.62666639,38.22500102,0.220333333,1.125166674,9.051666578,0.307166668,1.054499994,0.684500009,39.81166649,0.844999999,8.625,87.64999962,4.550000072,12.92500019,29.625,1.775000006,3.900000036,23.89999962,40.80000019,1.299999952,0.529999971,83.26000214,31.5,55.40000153,54.36176458,9.91161779,0.065001471,6.391985275,12.14164708,2.078382324,1.834191171,0.276617649,1.900749996,0.024504412,0.036854411,0.021563235,0.286382353,26.56666629,0.619,18.63333321,24.76666705,7.600000064
