Количество чугуна (т),Перепад давлений общий (ат),Перепад давлений нижний (ат),Расход природного газа (м³/ч),Расход холодного дутья (м³/ч),Выход колошникового газа (м³/ч),Колошниковый газ (H₂),O₂ в горячем дутье,t колошникового газа 2 (°С),t колошникового газа 1 (°С),Уровень засыпи (север) (м),t периферийных газов 5 (°С),t колошникового газа 4 (°С),t колошникового газа 3 (°С),Уровень засыпи (запад) (м),Уровень засыпи (восток) (м)
3563.176,1.13148879,0.870230722,13911.43087,197953.9264,269634.8216,7.466666698,26.53333346,217.3421446,200.3906339,2.348267421,568.4344139,196.0983365,218.5033932,2.097697347,2.508715853
3507.75,1.160274307,0.896760414,14157.43494,203551.5898,278942.1921,7.76666673,26.10000038,242.3222707,220.1271267,1.702687661,681.1535797,220.9299342,251.7624175,1.449765682,1.815688834
2875.038,0.98872338,0.702191261,11130.20711,184372.166,229254.9583,6.850000143,23.79999987,283.9901683,263.9178727,2.033855041,711.9900335,261.8340111,292.2287032,1.791452115,2.28116931
2963.127,0.944014755,0.685907407,10005.13707,174241.1704,217198.0275,6.699999968,24.73333359,238.4847914,218.6959241,2.574587728,685.2412491,224.86892,248.4433193,2.375676592,2.961962625
3780.492,1.178974286,0.86971848,12232.65857,199316.6745,266857.832,6.866666635,24.43333308,219.1936982,198.6680101,2.16155074,650.2064718,203.9930903,230.7234834,1.978471075,2.439513018
3764.036,1.251331021,0.939066554,13370.38725,204316.6523,279456.2422,7.033333302,25.83333333,222.5815016,205.3010858,2.009717355,583.9440447,198.9629669,232.8541272,1.777805428,2.205587894
3619.498,1.145770259,0.912403934,12943.48767,197921.3164,264238.1628,7.133333206,24.83333333,220.7778009,202.1442362,2.419577102,532.6743787,207.0613861,226.3974336,3.188689637,3.636784931
3591.732,1.138347447,0.921488556,12528.08964,203451.6289,268380.4284,7.200000127,24.73333359,206.3878345,180.053566,3.258666714,565.0607923,193.3548908,210.1470172,3.028795868,3.495642235
3594.874,1.143241897,0.918044562,13394.75134,204074.9408,269354.7598,7.366666635,24.56666629,206.856336,178.8587767,3.023188919,682.5658875,200.5800559,213.2353745,2.813899159,3.357210884
3664.99,1.143945004,0.921859381,13335.50252,206742.127,274015.4258,7.300000032,24.79999987,202.135025,180.0246995,2.804151565,706.6745351,194.7694461,211.3825645,2.592630774,3.137331198
3821.466,1.167303254,0.930799231,13494.76217,206440.4264,273434.6003,7.400000095,25.10000038,187.7436314,168.2601725,2.654566576,630.8991241,176.7355143,196.5915502,2.458376169,2.983195047
3827.735,1.162872682,0.9194647,13659.49361,206910.3229,276335.4909,7.400000095,25.63333257,202.5220343,179.7657839,2.419577102,563.1403859,191.8258171,211.7334983,2.224087586,2.752961338
3684.596,1.183043992,0.929118643,13855.05164,205715.446,277179.974,7.333333333,25.93333371,234.6662458,208.9791012,2.162173778,620.003596,219.559255,250.518919,1.992281655,2.468669335
3847.369,1.185856193,0.947485072,12751.47502,201577.7676,271397.0443,7.066666603,25.70000013,199.582545,185.3901787,2.673388168,585.9505183,191.5778573,209.7314154,2.47723496,2.923350523
3894.036,1.167825242,0.920531251,12923.34021,200704.0104,272450.431,7.033333302,25.73333359,192.0922623,181.3528595,1.81343328,591.318751,186.7260513,210.720623,1.664173608,2.120574082
3803.079,1.174883097,0.912978013,13654.37956,201159.4987,273579.4505,7.26666673,25.90000025,182.7972088,176.4909782,1.304708386,537.438132,181.0434837,213.4371045,1.15398784,1.615126684
3721.236,1.184958503,0.914229318,14997.85486,200926.2409,273054.6439,7.599999905,26.06666692,214.7559821,199.9603666,1.398886244,594.7378337,211.3439356,240.5553811,1.276455164,1.684852267
3679.087,1.172989016,0.915039353,13549.62716,197484.61,268376.1745,7.366666476,26.06666692,237.7312978,218.4356505,1.834329401,592.9948705,219.402174,249.3412107,1.664369509,2.088424017
3792.029,1.174656247,0.899894675,12998.95101,199787.9954,271337.1016,7.366666794,25.56666692,213.768067,206.6365337,1.386954278,586.2142792,201.254034,235.4877345,1.247543064,1.666171595
3853.844,1.193253984,0.919162807,12979.69043,200453.7702,273234.2435,7.166666508,26.13333321,208.9729633,195.5362943,1.784302473,600.6478831,190.2852923,218.7758598,1.58564132,2.030833905
3919.477,1.189809283,0.925503083,12999.13826,200361.873,275218.7617,7.699999968,25.89999962,181.5309639,180.7147465,1.603161166,476.3145549,171.7034384,196.3403568,1.480964869,1.86772879
4003.962,1.159678519,0.896969621,12893.2502,200706.4818,275674.9447,7.23333327,26.3333327,167.2329203,173.3257891,1.223659108,467.9023717,164.2149563,198.4639549,1.096634286,1.509043356
